"name","substanceId","casNo","ecNo","pubchem_cid","pubchem"
"geum rivale extract","33996","89957-81-3","289-601-9",,
"geum urbanum extract","33997","84649-91-2","283-472-2",,
"geum urbanum root extract","56170","84649-91-2","283-471-2",,
"gevuina avellana oil","33998","225234-02-6",,,
"ghatti gum","85844","9000-28-6","232-534-7",,
"gibberellic acid","93142","77-06-5","201-001-0",,
"gigartina skottsbergii extract","85770","-","-",,
"gigartina stellata/kappaphycus alvarezii extract","96176",,,,
"ginkgo biflavones","56172",,,,
"ginkgo biloba callus culture extract","89357",,,,
"ginkgo biloba leaf","56173","90045-36-6","289-896-4",,
"ginkgo biloba leaf/linum usitatissimum seed extract","87514","-","-",,
"ginkgo biloba leaf cell extract","85577","90045-36-6","289-896-4",,
"ginkgo biloba leaf extract","56174","90045-36-6","289-896-4",,
"ginkgo biloba leaf powder","56175","90045-36-6","289-896-4",,
"ginkgo biloba leaf water","84156","90045-36-6","289-896-4",,
"ginkgo biloba meristem cell","91179",,,,
"ginkgo biloba meristem cell culture conditioned media","88559",,,,
"ginkgo biloba nut extract","56176","90045-36-6","289-896-4",,
"ginkgo biloba root extract","84059","90045-36-6","289-896-4",,
"ginkgo leaf terpenoids","56177","90045-36-6","289-896-4",,
"ginseng hydroxypropyltrimonium chloride","34001",,,,
"ginsenoside rd","97223","52705-93-8","258-118-5",,
"ginsenoside re","97222","52286-59-6",,,
"ginsenoside rg1","98728",,,,
"ginsenoside rg2","98729","52286-74-5",,,
"ginsenoside rg4","97220","126223-28-7",,,
"ginsenoside rg6","97219","147419-93-0",,,
"ginsenoside rh1","98730","63223-86-9",,,
"ginsenoside rh4","97221","174721-08-5",,,
"ginsenosides","82871","-","-",,
"glabridin","84479","59870-68-7","-",,
"glass beads","56179",,,,
"glaucine","56180","475-81-0","207-501-5",,
"glechoma hederacea extract","34002","84650-18-0","283-500-3",,
"gleditsia australis extract","88239","-","-",,
"gleditsia australis fruit extract","82540","-","-",,
"gleditsia australis seed extract","56182","223749-03-9","-",,
"gleditsia australis thorn extract","56181","-","-",,
"gleditsia fera pod extract","93027",,,,
"gleditsia japonica fruit extract","83367","-","-",,
"gleditsia triacanthos wood extract","89915",,,,
"glehnia littoralis extract","95519",,,,
"gliadin","34004","9007-90-3","232-707-7",,
"gliricidia sepium leaf extract","83462","-","-",,
"globularia alypum leaf extract","89994",,,,
"globularia cordifolia callus culture extract","89943",,,,
"gloiopeltis furcata extract","93940",,,,
"gloiopeltis tenax extract","92201",,,,
"gloiopeltis tenax powder","93778",,,,
"glucamine","34005","488-43-7","207-677-3",,
"glucaric acid","34006","87-73-0","201-768-1",,
"glucarolactone","76183","2782-04-9","220-483-3",,
"glucoheptonic acid","56185","23351-51-1","245-601-0",,
"glucoheptonolactone","56186","60046-25-5","262-037-0",,
"glucomannan","85937","-","-",,
"glucomannan hydroxypropyltrimonium chloride","93008","1268336-96-4",,,
"gluconacetobacter xylinus ferment filtrate extract","95698",,,,
"gluconamido amodimethicone","91903","851635-19-3",,,
"gluconamidopropyl aminopropyl dimethicone","56187",,,,
"gluconobacter/honey ferment filtrate","90219",,,,
"gluconobacter ferment filtrate","93472",,,,
"glucosamine ascorbate","56188",,,,
"glucosamine salicylate","56189",,,,
"glucosamine thioctate","56190",,,,
"glucose pentaacetate","56191","604-68-2 / 3891-59-6","210-073-2 / 223-439-1",,
"glucose pentaisovalerate","56192","63450-57-7",,,
"glucosyl ceramide","85738","-","-",,
"glucosyl ceramide np","94542",,,,
"glucosyl naringin","83539","-","-",,
"glucosyl pentagallate","88294","14937-32-7","-",,
"glucosyl resveratrol","94664","1198094-51-7",,,
"glucosylrutin","56225","130603-71-3",,,
"glutamoyl aminoguanidine","90506",,,,
"glutamylamidoethyl imidazole","56226","169283-81-2","421-900-3",,
"glutamyl hydroxyphenylhydrazide","89892","1225997-63-6",,,
"glutamyl methylsulfonyl fluorophenylhydrazide","97308",,,,
"glutaral","34020","111-30-8","203-856-5",,
"glutaric acid","56228","110-94-1","203-817-2",,
"glutathione palmitamide","86563","-","-",,
"glyceollins","89001","57103-57-8 (isomer)  ; 61080-23-7 (isomer); 67314-98-1 (isomer)",,,
"glycereth-17 tallowate","76273",,,,
"glycereth-18 benzoate","56229","-","-",,
"glycereth-20","76274","31694-55-0",,,
"glycereth-20 benzoate","56232","-","-",,
"glycereth-20 cocoate","89150",,,,
"glycereth-20 stearate","76275","-","-",,
"glycereth-26 caprylate","86114","-","-",,
"glycereth-26 phosphate","76278",,,,
